n1: c12,c78,
n81: c244,c248,
n82: c245,c249,
n83: c246,c248,
n84: c246,c253,c260,c264,
n85: c246,c255,c264,
n86: c247,c249,
n87: c247,c251,
n88: c39,c247,
n89: c248,c268,
n90: c250,c253,
n91: c250,c265,c267,
n92: c250,c252,c260,
n93: c253,c256,
n94: c254,c262,
n95: c256,c261,
n96: c38,c256,
n97: c257,c266,
n98: c257,c262,c264,c204,c212,
n99: c258,c204,
n100: c259,c261,
n101: c263,c265,
n102: c14,c268,
n103: c269,c279,c114,c118,
n104: c270,c281,
n105: c270,c275,c279,c104,c106,c110,c112,c119,c120,c121,c124,
n106: c270,c272,c280,c109,c110,c118,c122,c123,
n107: c270,c106,c121,
n108: c270,c277,c282,c283,c115,
n109: c9,c271,
n110: c271,c107,c113,
n111: c271,c281,
n112: c272,c116,c117,
n113: c6,c273,
n114: c273,c274,
n115: c273,c119,
n116: c273,c117,
n117: c274,c277,c111,
n118: c275,c277,
n119: c369,c198,c200,
n120: c370,c373,
n121: c371,c193,
n122: c371,c374,
n123: c372,c200,
n124: c375,c194,
n125: c20,c195,
n126: c24,c196,
n127: c203,c204,
n128: c41,c203,c205,c208,
n129: c204,c207,c208,
n130: c205,c209,c210,
n131: c206,c211,
n132: c207,c212,c240,c286,c288,
n133: c208,c241,
n134: c209,c211,c212,
n135: c25,c211,
n136: c87,c97,
n137: c87,c90,
n138: c88,c95,
n139: c88,c92,
n140: c89,c96,
n141: c89,c91,
n142: c90,c251,c260,c263,c267,c123,
n143: c90,c97,
n144: c91,c260,c263,c267,c269,c282,c117,c121,c122,
n145: c91,c96,
n146: c92,c252,c124,
n147: c92,c95,
n148: c93,c94,c255,c282,c100,c122,
n149: c93,c94,
n150: c94,c95,c96,c97,c258,
n151: c94,c248,
n152: c95,c261,
n153: c96,c243,
n154: c97,c249,
n155: c98,c243,
n156: c98,c244,c245,c259,c266,
n157: c99,c243,
n158: c15,c99,
n159: c16,c150,
n160: c334,c337,c338,c347,
n161: c337,c342,
n162: c338,c341,
n163: c339,c345,
n164: c341,c343,
n165: c342,c206,
n166: c343,c345,
n167: c42,c343,
n168: c344,c209,
n169: c349,c359,c367,c369,c197,c200,
n170: c22,c350,
n171: c350,c192,
n172: c350,c351,c373,
n173: c46,c351,
n174: c351,c193,
n175: c352,c371,c195,c198,
n176: c353,c355,
n177: c353,c357,c359,c370,c371,c372,c192,c194,c199,c200,c202,
n178: c353,c366,c192,c198,
n179: c354,c355,
n180: c354,c360,c370,c197,
n181: c1,c355,
n182: c355,c198,
n183: c356,c195,
n184: c356,c362,c200,
n185: c357,c360,
n186: c357,c194,c201,
n187: c358,c196,
n188: c358,c194,
n189: c359,c365,c367,
n190: c359,c363,c366,c375,c199,
n191: c23,c360,
n192: c360,c365,
n193: c360,c361,c364,c374,c196,
n194: c362,c364,
n195: c48,c364,
n196: c364,c368,c195,
n197: c367,c373,
n198: c367,c368,c199,
n199: c317,c320,
n200: c318,c321,
n201: c43,c321,
n202: c47,c323,
n203: c40,c324,
n204: c127,c131,
n205: c127,c132,c133,c134,c344,
n206: c127,c131,c340,c361,c363,c201,
n207: c127,c335,
n208: c128,c138,c149,c346,c352,c362,c375,c192,c197,c201,
n209: c128,c134,
n210: c129,c133,c138,c346,c349,c361,c201,
n211: c129,c133,
n212: c130,c334,c202,
n213: c130,c132,
n214: c132,c345,
n215: c133,c142,
n216: c134,c146,
n217: c135,c335,
n218: c136,c141,c342,
n219: c136,c147,c340,
n220: c137,c140,c144,c150,c343,
n221: c137,c348,
n222: c138,c139,
n223: c139,c140,
n224: c139,c337,c338,c346,c347,
n225: c140,c142,
n226: c18,c140,
n227: c141,c143,c348,
n228: c141,c145,c347,
n229: c142,c333,
n230: c142,c143,c146,c335,c345,
n231: c143,c336,
n232: c144,c146,
n233: c144,c149,
n234: c44,c144,
n235: c145,c147,c341,
n236: c146,c148,
n237: c147,c150,
n238: c150,c335,
n239: c3,c239,
n240: c240,c290,
n241: c242,c285,
n242: c287,c289,
n243: c26,c292,
n244: c293,c303,c322,c326,
n245: c294,c305,
n246: c294,c299,c303,c312,c314,c318,c320,c327,c328,c329,c332,
n247: c294,c296,c304,c317,c318,c326,c330,c331,
n248: c294,c314,c329,
n249: c294,c301,c306,c307,c323,
n250: c17,c295,
n251: c295,c315,c321,
n252: c295,c305,
n253: c296,c324,c325,
n254: c21,c297,
n255: c297,c298,
n256: c297,c327,
n257: c297,c325,
n258: c298,c301,c319,
n259: c299,c301,
n260: c299,c320,c330,
n261: c300,c324,
n262: c300,c304,c329,
n263: c45,c301,
n264: c301,c316,
n265: c302,c323,
n266: c302,c320,
n267: c303,c309,c313,
n268: c303,c308,c311,c317,c328,
n269: c304,c307,
n270: c19,c307,
n271: c307,c310,c324,
n272: c309,c315,
n273: c309,c310,c328,
n274: c309,c322,c329,
n275: c311,c318,c325,c327,
n276: c312,c315,
n277: c312,c319,c326,
n278: c313,c316,
n279: c213,c223,
n280: c213,c216,
n281: c214,c221,
n282: c214,c218,
n283: c215,c222,
n284: c215,c217,
n285: c216,c234,c284,c287,c291,c331,
n286: c216,c223,
n287: c217,c284,c287,c291,c293,c306,c325,c329,c330,
n288: c217,c222,
n289: c218,c235,c332,
n290: c218,c221,
n291: c219,c220,c238,c306,c308,c330,
n292: c219,c220,
n293: c220,c221,c222,c223,c241,
n294: c220,c231,
n295: c221,c285,
n296: c222,c226,
n297: c223,c232,
n298: c224,c226,
n299: c224,c227,c228,c242,c290,
n300: c225,c226,
n301: c13,c225,
n302: c225,c289,
n303: c225,c229,c230,c237,c239,
n304: c227,c231,
n305: c228,c232,
n306: c229,c231,
n307: c229,c236,c284,c288,
n308: c229,c238,c288,
n309: c230,c232,
n310: c230,c234,
n311: c37,c230,
n312: c231,c292,
n313: c233,c236,
n314: c233,c289,c291,
n315: c233,c235,c284,
n316: c236,c239,
n317: c237,c286,
n318: c239,c285,
n319: c275,c112,c122,
n320: c276,c116,
n321: c276,c280,c121,
n322: c31,c277,
n323: c277,c108,
n324: c278,c115,
n325: c278,c112,
n326: c279,c101,c105,
n327: c279,c100,c103,c109,c120,
n328: c280,c283,
n329: c7,c283,
n330: c283,c102,c116,
n331: c101,c107,
n332: c101,c102,c120,
n333: c101,c114,c121,
n334: c103,c110,c117,c119,
n335: c104,c107,
n336: c104,c111,c118,
n337: c105,c108,
n338: c109,c112,
n339: c110,c113,
n340: c32,c113,
n341: c30,c115,
n342: c34,c116,
n343: c125,c132,
n344: c125,c130,
n345: c126,c134,
n346: c126,c128,
n347: c151,c161,
n348: c151,c154,
n349: c152,c159,
n350: c152,c156,
n351: c153,c160,
n352: c153,c155,
n353: c154,c172,c181,c184,c188,c85,
n354: c29,c154,c155,c156,c157,c90,c91,c92,c93,c128,c129,c130,c131,c216,c217,c218,c219,
n355: c154,c161,
n356: c155,c181,c184,c188,c190,c60,c79,c83,c84,
n357: c155,c160,
